Codigo;Estacao;CodigoAdicional;Latitude;Longitude;Altitude;AreaDrenagem;TipoEstacao;Bacia;BaciaCodigo;SubBacia;SubBaciaCodigo;RioCodigo;Rio;Jurisdicao;EstadoNome;EstadoSigla;EstadoCodigo;MunicipioCodigo;Municipio;OperadoraCodigo;OperadoraSigla;OperadoraNome;ResponsavelCodigo;ResponsavelSigla;ResponsavelNome
10011200;PACHANLICA AJ AMBATO;H-803;-1,23;-78,54;2310;407;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000050;RIO PASTAZA;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10011900;VERDE AJ PASTAZA;H-781;-1,39;-78,29;1315;147;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000050;RIO PASTAZA;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10010900;NEGRO AJ PUMANCUCHI;H-795;-0,77;-78,77;3060;91;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000050;RIO PASTAZA;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10011300;PASTAZA EN BANÕS;H-800;-1,38;-78,42;1729;7983;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000050;RIO PASTAZA;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10011800;PISAYAMBO AJ QUILLOPACCHA;H-851;-1,06;-78,4;3480;77;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000050;RIO PASTAZA;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10011000;NAGSICHE P E CUSUBAMBA;H-793;-1,06;-78,69;2960;275;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000050;RIO PASTAZA;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10011100;AMBATO EN AMBATO;H-801;-1,25;-78,66;2680;763;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000050;RIO PASTAZA;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10012000;PASTAZA AJ ENCANTO;H-798;-1,42;-78,17;1150;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000050;RIO PASTAZA;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10011600;PUELA AJ CHAMBO;H-788;-1,53;-78,44;2460;223;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000050;RIO PASTAZA;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10011700;GUARGUALLA AJ CEBADAS;H-789;-1,86;-78,6;2828;195;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000050;RIO PASTAZA;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10011400;OZOGOCHE EN LOS LAGOS;H-783;-2,24;-78,59;3715;64;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000050;RIO PASTAZA;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10011500;ALAO EN HDA ALAO;H-787;-1,86;-78,51;3200;117;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000050;RIO PASTAZA;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10042000;PUENTE TOCACHE;221814;-8,18;-76,5;508;23100;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000060;RIO HUALLAGUA;3;PERU;PU;66;6,6e+07;PERU;906;SENAMHI-PERU;Servicio Nacional de Meteorologia e Hidrologia del Perú;906;SENAMHI-PERU;Servicio Nacional de Meteorologia e Hidrologia del Perú
10043600;CHAZUTA;221824;-6,57;-76,12;200;68300;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000060;RIO HUALLAGUA;3;PERU;PU;66;6,6e+07;PERU;906;SENAMHI-PERU;Servicio Nacional de Meteorologia e Hidrologia del Perú;906;SENAMHI-PERU;Servicio Nacional de Meteorologia e Hidrologia del Perú
10043000;PICOTA;221823;-6,88;-76,36;220;56400;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000060;RIO HUALLAGUA;3;PERU;PU;66;6,6e+07;PERU;906;SENAMHI-PERU;Servicio Nacional de Meteorologia e Hidrologia del Perú;906;SENAMHI-PERU;Servicio Nacional de Meteorologia e Hidrologia del Perú
10040000;TINGO MARIA;221822;-9,29;-76,98;691;2240;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000060;RIO HUALLAGUA;3;PERU;PU;66;6,6e+07;PERU;906;SENAMHI-PERU;Servicio Nacional de Meteorologia e Hidrologia del Perú;906;SENAMHI-PERU;Servicio Nacional de Meteorologia e Hidrologia del Perú
10041000;CAMPANILLA;221902;-7,43;-76,68;390;30600;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000060;RIO HUALLAGUA;3;PERU;PU;66;6,6e+07;PERU;906;SENAMHI-PERU;Servicio Nacional de Meteorologia e Hidrologia del Perú;906;SENAMHI-PERU;Servicio Nacional de Meteorologia e Hidrologia del Perú
10054000;FLOR DE PUNGA;231302;-5,4;-74,15;135;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000070;RIO UCAYALI;3;PERU;PU;66;6,6e+07;PERU;906;SENAMHI-PERU;Servicio Nacional de Meteorologia e Hidrologia del Perú;906;SENAMHI-PERU;Servicio Nacional de Meteorologia e Hidrologia del Perú
10074800;REQUENA;250101;-5,03;-73,83;200;4738;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000070;RIO UCAYALI;3;PERU;PU;66;6,6e+07;PERU;906;SENAMHI-PERU;Servicio Nacional de Meteorologia e Hidrologia del Perú;906;SENAMHI-PERU;Servicio Nacional de Meteorologia e Hidrologia del Perú
10045000;CONTAMANA;231301;-7,35;-75;134;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000070;RIO UCAYALI;3;PERU;PU;66;6,6e+07;PERU;906;SENAMHI-PERU;Servicio Nacional de Meteorologia e Hidrologia del Perú;906;SENAMHI-PERU;Servicio Nacional de Meteorologia e Hidrologia del Perú
